tcp_80_connections,tcp_443_connections,udp_443_connections
"('161.32.202.61', 3128, '45.215.27.188', 80)","('164.66.66.17', 50269, '45.171.169.0', 443)",
"('220.75.138.83', 55301, '192.114.236.27', 80)","('161.32.2.115', 1149, '94.245.42.162', 443)",
"('192.85.36.158', 3269, '35.3.240.1', 80)","('92.21.96.178', 443, '145.120.98.122', 55891)",
"('92.198.144.54', 80, '164.66.226.190', 54294)","('192.114.237.234', 63974, '198.210.73.213', 443)",
"('164.143.180.77', 1348, '46.224.98.177', 80)","('193.30.113.34', 443, '193.188.201.199', 2181)",
"('161.32.2.115', 35454, '162.100.225.123', 80)","('193.188.201.171', 46742, '198.210.204.138', 443)",
"('46.224.98.187', 80, '193.188.201.182', 42305)","('45.171.138.128', 443, '145.120.4.34', 2752)",
"('88.193.155.163', 1084, '192.114.236.80', 80)","('149.198.155.73', 1960, '193.42.178.169', 443)",
"('149.198.202.137', 62231, '215.154.127.135', 80)","('221.130.81.233', 443, '161.32.2.115', 2479)",
"('223.105.162.120', 80, '164.143.51.169', 47547)","('149.198.202.137', 62354, '11.43.100.49', 443)",
"('182.56.80.154', 25578, '11.43.102.110', 80)","('145.120.98.122', 55886, '92.21.96.178', 443)",
"('145.120.108.109', 3262, '69.95.12.235', 80)","('149.198.150.92', 2668, '42.65.128.37', 443)",
"('161.33.77.98', 34932, '200.134.183.46', 80)","('172.20.32.208', 1210, '50.115.113.225', 443)",
"('149.198.202.137', 57738, '45.6.247.40', 80)","('88.165.92.235', 443, '164.88.48.128', 61086)",
"('145.120.38.10', 80, '50.212.208.135', 37411)","('88.165.92.235', 443, '164.88.48.131', 60531)",
"('164.93.57.54', 25088, '11.43.102.40', 80)","('145.120.98.122', 55881, '92.21.96.178', 443)",
"('193.188.201.199', 2207, '222.9.85.15', 80)","('149.198.164.2', 1088, '42.65.128.15', 443)",
"('182.56.80.63', 80, '93.104.202.38', 1126)","('149.198.197.36', 1103, '42.65.128.38', 443)",
"('164.93.169.70', 60410, '212.129.97.209', 80)","('164.66.198.238', 32767, '46.36.64.152', 443)",
"('164.93.0.135', 31335, '212.30.121.177', 80)","('145.120.96.226', 60053, '46.224.98.178', 443)",
"('161.32.40.248', 50193, '46.240.209.77', 80)","('182.56.2.9', 1033, '222.54.92.144', 443)",
"('149.198.149.188', 80, '152.46.249.71', 33522)","('198.210.11.179', 443, '161.32.81.203', 61341)",
"('215.153.12.119', 80, '161.32.85.188', 3807)","('186.145.33.212', 1246, '46.36.64.152', 443)",
"('149.198.202.136', 60733, '215.210.211.35', 80)","('45.171.169.60', 443, '145.120.98.122', 55893)",
"('199.98.134.242', 80, '192.114.238.56', 53753)","('145.120.33.43', 2464, '45.171.179.125', 443)",
"('145.120.106.39', 49374, '45.171.217.78', 80)","('149.198.233.164', 2468, '42.65.128.32', 443)",
"('164.93.0.135', 31304, '11.43.102.175', 80)","('193.188.201.171', 46800, '215.198.65.166', 443)",
"('149.198.202.137', 62491, '200.86.147.191', 80)","('88.165.92.235', 443, '164.88.48.129', 65020)",
"('214.206.51.151', 80, '193.176.213.120', 51256)","('149.198.202.137', 62355, '11.43.100.46', 443)",
"('208.17.178.238', 80, '193.188.203.82', 1385)","('161.32.187.186', 1549, '42.28.62.142', 443)",
"('161.32.74.61', 54222, '222.76.130.164', 80)","('149.198.155.73', 1950, '42.65.128.50', 443)",
"('199.145.198.91', 80, '193.188.203.82', 1967)","('160.72.169.246', 443, '220.85.2.90', 2139)",
"('218.34.205.197', 80, '164.88.48.132', 57798)","('161.32.131.18', 49339, '220.161.215.34', 443)",
"('44.47.194.202', 80, '161.32.225.116', 1725)","('88.165.92.235', 443, '164.88.48.128', 61088)",
"('92.198.144.54', 80, '164.66.226.190', 54271)","('145.120.33.1', 2988, '193.50.255.17', 443)",
"('46.76.242.38', 80, '161.32.173.69', 33388)","('149.198.202.136', 60979, '11.43.100.46', 443)",
"('46.75.108.178', 80, '164.143.213.140', 33865)","('193.50.255.17', 443, '145.120.33.1', 2988)",
"('47.15.248.29', 80, '193.188.203.82', 1922)","('149.198.197.26', 2346, '56.21.19.214', 443)",
"('145.120.163.0', 4784, '44.206.252.199', 80)","('88.165.92.235', 443, '164.88.48.133', 63939)",
