Packet Number,Source IP,Destination IP,Source Port,Destination Port,IHL(byte),DSCP,ECN,Protocol,Packet Length,ICMP_Type
257,193.188.204.111,32.172.149.155,-,-,20,0,0,1,56,3
277,164.191.23.52,94.203.116.0,-,-,20,0,0,1,56,11
296,164.191.23.52,194.128.78.238,-,-,20,0,0,1,56,11
347,45.73.88.32,192.114.235.164,-,-,20,0,0,1,84,8
372,192.114.235.164,45.73.88.32,-,-,20,0,0,1,84,0
483,182.77.118.136,221.2.11.36,-,-,20,0,0,1,56,3
493,41.158.67.165,192.114.147.147,-,-,20,0,0,1,92,8
1069,164.191.23.54,194.128.78.238,-,-,20,0,0,1,56,11
1373,164.66.234.130,199.99.109.218,-,-,20,0,0,1,78,0
1386,161.32.168.70,223.10.175.155,-,-,20,0,0,1,94,3
1559,192.114.234.146,89.110.142.239,-,-,20,0,0,1,56,3
1626,92.11.242.74,145.120.188.51,-,-,20,0,0,1,56,11
1638,92.11.195.161,145.120.188.51,-,-,20,0,0,1,56,11
1639,92.11.195.202,145.120.188.51,-,-,20,0,0,1,56,11
1698,192.114.232.31,46.180.165.88,-,-,20,0,0,1,56,11
1839,164.191.23.54,44.151.52.159,-,-,20,0,0,1,56,11
1894,164.191.23.54,194.128.78.238,-,-,20,0,0,1,56,11
1959,160.72.3.171,46.224.114.55,-,-,20,0,0,1,88,3
2024,92.116.164.204,193.188.221.215,-,-,20,0,0,1,92,8
2371,192.114.227.236,193.243.130.219,-,-,20,0,0,1,1500,0
2505,209.24.69.204,192.114.232.31,-,-,20,0,0,1,64,8
2529,193.244.23.205,192.122.97.133,-,-,20,0,0,1,56,3
2531,192.114.232.31,209.24.69.204,-,-,20,0,0,1,64,0
2761,164.191.23.52,194.128.78.238,-,-,20,0,0,1,56,11
2800,212.198.172.96,192.114.227.236,-,-,20,0,0,1,1492,8
2808,192.114.227.236,212.198.172.96,-,-,20,0,0,1,1492,0
2950,145.120.188.50,214.22.22.81,-,-,20,0,0,1,66,3
2964,182.77.181.241,11.171.184.129,-,-,20,0,0,1,56,3
3057,145.14.165.208,202.233.188.77,-,-,20,0,0,1,56,3
3069,150.152.109.225,192.114.232.31,-,-,20,0,0,1,64,8
3085,192.114.232.31,150.152.109.225,-,-,20,0,0,1,64,0
3450,192.114.232.31,46.180.165.70,-,-,20,0,0,1,56,11
3557,164.191.23.52,194.128.78.238,-,-,20,0,0,1,56,11
3582,162.172.138.50,145.120.188.51,-,-,20,0,0,1,172,11
3604,162.172.140.137,145.120.188.51,-,-,20,0,0,1,172,11
3908,117.212.84.7,193.188.250.221,-,-,20,16,0,1,92,8
4045,92.222.13.110,192.114.149.12,-,-,20,0,0,1,92,8
4286,164.191.23.52,194.128.78.238,-,-,20,0,0,1,56,11
4301,162.172.138.37,145.120.188.51,-,-,20,0,0,1,168,11
4312,162.172.138.5,145.120.188.51,-,-,20,0,0,1,168,11
4317,220.176.95.136,192.114.179.124,-,-,20,0,0,1,92,8
4360,204.50.74.218,145.120.188.51,-,-,20,0,0,1,56,11
4409,192.186.198.11,193.188.251.119,-,-,20,0,0,1,92,8
4618,164.191.23.52,94.41.73.249,-,-,20,0,0,1,56,11
4813,212.198.172.96,192.114.227.240,-,-,20,0,0,1,1492,8
4838,192.114.227.240,212.198.172.96,-,-,20,0,0,1,1492,0
5128,164.191.23.52,44.151.52.159,-,-,20,0,0,1,56,11
5162,164.191.23.52,194.128.78.238,-,-,20,0,0,1,56,11
5308,192.114.227.240,193.243.130.219,-,-,20,0,0,1,1500,0
5377,192.114.232.31,46.180.165.106,-,-,20,0,0,1,56,11
5453,92.11.242.74,145.120.188.51,-,-,20,0,0,1,56,11
5455,92.21.111.147,145.120.188.51,-,-,20,0,0,1,56,11
5457,92.11.195.194,145.120.188.51,-,-,20,0,0,1,56,11
5691,193.244.23.205,221.169.3.28,-,-,20,0,0,1,56,3
6017,198.4.209.235,164.191.22.230,-,-,20,0,0,1,81,3
6031,164.191.23.52,194.128.78.238,-,-,20,0,0,1,56,11
6180,92.97.34.122,192.114.234.10,-,-,20,48,0,1,203,3
6220,92.97.34.122,192.114.234.10,-,-,20,48,0,1,203,3
6324,221.195.16.127,193.59.125.129,-,-,20,0,0,1,92,8
6698,182.77.194.97,104.228.171.209,-,-,20,0,0,1,56,3
6741,164.191.23.52,194.128.78.238,-,-,20,0,0,1,56,11
6850,162.172.138.89,145.120.188.58,-,-,20,0,0,1,56,11
6874,162.172.138.189,145.120.188.51,-,-,20,0,0,1,56,11
6892,149.198.195.134,209.204.13.48,-,-,20,0,0,1,56,3
6937,213.76.78.18,145.120.188.58,-,-,20,48,0,1,56,11
7034,149.198.2.109,42.182.121.33,-,-,20,0,0,1,93,11
7165,221.72.101.155,192.114.181.206,-,-,20,0,0,1,92,8
7440,215.246.153.236,192.114.235.164,-,-,20,0,0,1,84,8
7461,192.114.235.164,215.246.153.236,-,-,20,0,0,1,84,0
7585,164.191.23.52,221.2.11.36,-,-,20,0,0,1,56,11
