Packet Number,Source IP,Destination IP,Source Port,Destination Port,IHL(byte),DSCP,ECN,Protocol,Packet Length,UDP_Length
5,152.223.152.140,201.196.236.252,32819,53,20,0,0,17,59,39
8,46.254.176.252,192.114.237.128,53,37044,20,0,0,17,179,159
12,193.188.224.94,46.148.100.242,25900,53,20,0,0,17,70,50
15,193.81.64.0,193.20.182.105,1040,53,20,0,0,17,82,62
17,202.166.51.210,145.120.188.51,8367,57195,20,0,0,17,1028,1008
20,46.57.15.241,193.20.182.96,32768,53,20,0,0,17,84,64
22,192.114.237.128,196.88.38.215,53,4688,20,0,0,17,136,116
25,94.237.225.0,193.20.182.96,61830,53,20,0,0,17,70,50
33,201.196.236.252,152.223.152.140,53,32819,20,0,0,17,113,93
35,94.7.215.240,193.20.180.152,48230,53,20,0,0,17,66,46
51,94.237.225.21,193.20.182.105,55110,53,20,0,0,17,73,53
60,192.114.237.128,95.46.238.182,53,4017,20,0,0,17,197,177
75,198.53.192.92,193.20.182.96,14432,53,20,0,0,17,72,52
120,94.237.225.21,193.20.182.105,2548,53,20,0,0,17,72,52
132,145.120.130.76,201.33.62.126,32794,53,20,0,0,17,79,59
147,223.105.179.186,193.20.180.152,62347,53,20,0,0,17,59,39
162,214.148.201.56,193.20.182.105,2953,53,20,0,0,17,84,64
169,46.243.97.50,201.196.236.252,13912,53,20,0,0,17,59,39
175,208.27.40.252,193.20.182.105,14350,53,20,0,0,17,73,53
183,201.196.236.252,46.243.97.50,53,13912,20,0,0,17,266,246
206,203.68.142.177,193.20.180.152,53,53,20,0,0,17,63,43
207,203.68.142.177,193.20.180.152,53,53,20,0,0,17,63,43
215,193.20.177.176,172.20.54.26,53,1100,20,0,0,17,535,515
216,193.20.177.176,172.20.54.26,53,1100,20,0,0,17,535,515
218,201.196.236.252,95.68.251.53,53,33017,20,0,0,17,277,257
220,193.20.177.176,192.168.10.7,53,32768,20,0,0,17,539,519
221,193.20.177.176,10.168.1.20,53,1024,20,0,0,17,535,515
259,193.20.177.176,150.69.163.155,53,1050,20,0,0,17,235,215
267,193.20.177.176,150.69.163.155,53,1050,20,0,0,17,235,215
271,193.20.177.176,150.69.163.155,53,1050,20,0,0,17,235,215
276,193.20.177.176,150.69.163.155,53,1050,20,0,0,17,558,538
279,196.18.0.38,201.196.236.249,40310,53,20,0,0,17,78,58
284,192.7.16.115,193.20.180.152,32911,53,20,0,0,17,72,52
298,193.97.215.82,161.32.145.124,32838,53,20,0,0,17,65,45
305,201.196.236.249,196.18.0.38,53,40310,20,0,0,17,122,102
312,45.68.52.22,192.114.237.203,53,48039,20,0,0,17,127,107
320,145.120.20.158,46.169.27.195,14981,41598,20,0,0,17,124,104
