Packet Number,Source IP,Destination IP,Source Port,Destination Port,Flow Label,Traffic Class,Next Header,Packet Length
542,2001:3269:3d:0:8883::ed2e,2001:3b46:3e00:ffff::23b8,-,-,0,0,58,44+109
559,2001:3801:6c00:42::31:52,2001:3c00:5979::21:14,32771,53,0,0,17,60+55
561,2001:3801:6c00:42::31:52,2001:3c00:5979::21:14,32771,53,0,0,17,60+55
757,2001:3376:cff:ffff::c6,2001:390a:2002:1a00:1e::,-,-,0,0,41,40+60
1013,2001:3269:3d:0:8883::ed2e,2001:23b9:0:4b:b9:1295:16a4:60,-,-,0,0,58,44+111
2151,2001:3d4f::ed,2001:3a50:0:ec::71,-,-,0,0,58,48+64
2218,2001:3376:cff:ffff::c6,2001:390a:2002:1a00:1e::,-,-,0,0,41,40+60
2428,2001:3a50:a8ff:ff23::93c,2001:3c00:5846:bd74:f381:68ff:8990:3b19,-,-,0,0,58,48+64
2831,2002:90f3:2860::53df:6d54,2001:34ca:bb:9e:8c13:28ff:c953:b2c5,1084,80,0,0,6,60+20
3178,2001:3269:3d:0:8883::ed2e,2001:390a:4b52:8a00::6e83,-,-,0,0,58,44+111
3707,2001:3376:cff:ffff::c6,2001:390a:2002:1a00:1e::,-,-,0,0,41,40+60
4390,2001:3269:3d:0:8883::ed2e,2001:2a12:806f::d7,-,-,0,0,58,44+113
5101,2001:3c8f:e:ff55::a200,2001:394f:0:9cc3::ae,36514,53,0,0,17,60+51
5269,2002:90f3:2860::53df:6d54,2001:34ca:bb:9e:8c13:28ff:c953:b2c5,1084,80,0,0,6,60+20
5270,2002:90f3:2860::53df:6d54,2001:34ca:bb:9e:8c13:28ff:c953:b2c5,1084,80,0,0,6,60+20
5272,2002:90f3:2860::53df:6d54,2001:34ca:bb:9e:8c13:28ff:c953:b2c5,1084,80,0,0,6,60+20
5574,2001:5696:6200:f::a6,2001:3c00:5846:bd74:f381:68ff:8990:3b19,-,-,0,0,58,48+64
5591,2001:3c00:5846:bd74:f381:68ff:8990:3b19,2001:5696:6200:f::a6,-,-,0,0,58,48+64
5904,2001:3996:8800:27df::b1,2001:3c00:5846:bd74:f381:68ff:8990:3b19,-,-,0,0,58,48+64
5921,2001:3c00:5846:bd74:f381:68ff:8990:3b19,2001:3996:8800:27df::b1,-,-,0,0,58,48+64
7058,2002:90f3:2860::53df:6d54,2001:34ca:bb:9e:8c13:28ff:c953:b2c5,1084,80,0,0,6,60+20
7957,2001:3269:3d:0:8883::ed2e,2001:23b9:0:4b:b9:1295:16a4:60,-,-,0,0,58,44+111
8199,2001:28d3:ff00:11e9::51,2001:3c00:5846:bd74:f381:68ff:8990:3b19,-,-,0,0,58,48+64
8220,2001:3c00:5846:bd74:f381:68ff:8990:3b19,2001:28d3:ff00:11e9::51,-,-,0,0,58,48+64
9538,2001:5696:6200:f::a6,2001:3c00:5846:bd74:f381:68ff:8990:3b19,-,-,0,0,58,48+64
9552,2001:3c00:5846:bd74:f381:68ff:8990:3b19,2001:5696:6200:f::a6,-,-,0,0,58,48+64
9589,2001:3269:3d:0:8883::ed2e,2001:23b9:0:4a:4dbf:b6ff:cbca:6d,-,-,0,0,58,44+112
10180,2001:3c00:59c7:b6:f780:f0ff:eb6:493f,2001:3abf:f5a5::a3:2f,53601,53,0,0,17,60+43
10183,2001:3c00:59c7:b6:f780:f0ff:eb6:493f,2001:3abf:f5a5::a3:2f,53601,53,0,0,17,60+43
10188,2001:3c00:59c7:b6:f780:f0ff:eb6:493f,2001:3abf:f5a5::a3:2f,53601,53,0,0,17,60+43
10834,2001:32af:eb5a:0:8e1c:f1ff:52fc:a0c8,2001:38af:38:1b::ca,51827,53,0,0,17,60+47
10966,2001:3b46:3e01:548c::62,2001:343d:b5:b4::65,-,-,0,0,58,48+64
11324,2001:3a50:a8ff:ff23::1636,2001:32af:ea15:0:6a18:c8ff:3b8f:843b,-,-,0,0,58,48+64
11646,2001:3269:3d:0:8883::ed2e,2001:23b9:0:48:cf:c57a:e40d:bf,-,-,0,0,58,44+109
11711,2001:3951:6a7d:c1:521e:2d7f:8bd:ced0,2001:3c00:5846:1a2a::f00:d488,1259,6667,0,0,6,60+85
11857,2001:3c00:5846:1a2a::f00:d488,2001:3951:6a7d:c1:521e:2d7f:8bd:ced0,6667,1259,256161,0,6,60+118
12051,2001:3da6:613c:7000::bea9,2001:3c00:5846:1a2a::f00:d488,63980,6667,936823,0,6,72+123
12186,2001:3a50:a8ff:ff23::1636,2001:32af:ea15:0:6800::780d,-,-,0,0,58,48+64
12334,2001:3daa:4d00::298c,2001:3c00:5846:1a2a::f00:d488,43959,6667,0,0,6,80+40
12634,2001:3269:3d:0:8883::ed2e,2001:54e5:0:8f0f::d0,-,-,0,0,58,44+109
12893,2001:3abf:f5a5::a3:2f,2001:3c00:59c7:b6:f780:f0ff:eb6:493f,53,53601,0,0,17,60+123
12944,2001:3abf:f5a5::a3:2f,2001:3c00:59c7:b6:f780:f0ff:eb6:493f,53,53601,0,0,17,60+123
12967,2001:3abf:f5a5::a3:2f,2001:3c00:59c7:b6:f780:f0ff:eb6:493f,53,53601,0,0,17,60+107
