Packet Number,Source IP,Destination IP,Source Port,Destination Port,Flow Label,Traffic Class,Next Header,Packet Length,TCP-Reserved,TCP-CWR,TCP-ECE,TCP-Timestamp_Value
2831,2002:90f3:2860::53df:6d54,2001:34ca:bb:9e:8c13:28ff:c953:b2c5,1084,80,0,0,6,60+20,0,False,False,-
5269,2002:90f3:2860::53df:6d54,2001:34ca:bb:9e:8c13:28ff:c953:b2c5,1084,80,0,0,6,60+20,0,False,False,-
5270,2002:90f3:2860::53df:6d54,2001:34ca:bb:9e:8c13:28ff:c953:b2c5,1084,80,0,0,6,60+20,0,False,False,-
5272,2002:90f3:2860::53df:6d54,2001:34ca:bb:9e:8c13:28ff:c953:b2c5,1084,80,0,0,6,60+20,0,False,False,-
7058,2002:90f3:2860::53df:6d54,2001:34ca:bb:9e:8c13:28ff:c953:b2c5,1084,80,0,0,6,60+20,0,False,False,-
11711,2001:3951:6a7d:c1:521e:2d7f:8bd:ced0,2001:3c00:5846:1a2a::f00:d488,1259,6667,0,0,6,60+85,0,False,False,-
11857,2001:3c00:5846:1a2a::f00:d488,2001:3951:6a7d:c1:521e:2d7f:8bd:ced0,6667,1259,256161,0,6,60+118,0,False,False,-
12051,2001:3da6:613c:7000::bea9,2001:3c00:5846:1a2a::f00:d488,63980,6667,936823,0,6,72+123,0,False,False,"280930122, 2115505606"
12334,2001:3daa:4d00::298c,2001:3c00:5846:1a2a::f00:d488,43959,6667,0,0,6,80+40,0,False,False,"266682230, 0"
19773,2001:34eb:ff:f112::39f:2c,2001:3c00:5846:bd74:f381:68ff:8990:3b19,4644,80,0,0,6,80+40,0,False,False,"202756699, 0"
19782,2001:3c00:5846:bd74:f381:68ff:8990:3b19,2001:34eb:ff:f112::39f:2c,80,4644,955572,1,6,82+44,0,False,False,"476625077, 202756699"
20104,2001:3951:6a7d:c1:521e:2d7f:8bd:ced0,2001:3c00:5846:1a2a::f00:d488,1259,6667,0,0,6,60+20,0,False,False,-
