Packet Number,Source IP,Destination IP,Source Port,Destination Port,Flow Label,Traffic Class,Next Header,Packet Length,UDP_Length
559,2001:3801:6c00:42::31:52,2001:3c00:5979::21:14,32771,53,0,0,17,60+55,55
561,2001:3801:6c00:42::31:52,2001:3c00:5979::21:14,32771,53,0,0,17,60+55,55
5101,2001:3c8f:e:ff55::a200,2001:394f:0:9cc3::ae,36514,53,0,0,17,60+51,51
10180,2001:3c00:59c7:b6:f780:f0ff:eb6:493f,2001:3abf:f5a5::a3:2f,53601,53,0,0,17,60+43,43
10183,2001:3c00:59c7:b6:f780:f0ff:eb6:493f,2001:3abf:f5a5::a3:2f,53601,53,0,0,17,60+43,43
10188,2001:3c00:59c7:b6:f780:f0ff:eb6:493f,2001:3abf:f5a5::a3:2f,53601,53,0,0,17,60+43,43
10834,2001:32af:eb5a:0:8e1c:f1ff:52fc:a0c8,2001:38af:38:1b::ca,51827,53,0,0,17,60+47,47
12893,2001:3abf:f5a5::a3:2f,2001:3c00:59c7:b6:f780:f0ff:eb6:493f,53,53601,0,0,17,60+123,123
12944,2001:3abf:f5a5::a3:2f,2001:3c00:59c7:b6:f780:f0ff:eb6:493f,53,53601,0,0,17,60+123,123
12967,2001:3abf:f5a5::a3:2f,2001:3c00:59c7:b6:f780:f0ff:eb6:493f,53,53601,0,0,17,60+107,107
14731,2001:38af:38:1b::ca,2001:32af:eb5a:0:8e1c:f1ff:52fc:a0c8,53,51827,0,0,17,60+265,265
17380,3ffe:9d3c:de29:2e82:ec53:96ff:7344:8d,2001:3abf:22df::63:1a,61140,53,0,0,17,60+50,50
17384,3ffe:9d3c:de29:2e82:ec53:96ff:7344:8d,2001:3abf:22df::63:1a,61140,53,0,0,17,60+50,50
17389,3ffe:9d3c:de29:2e82:ec53:96ff:7344:8d,2001:3abf:22df::63:1a,61140,53,0,0,17,60+50,50
17393,3ffe:9d3c:de29:2e82:ec53:96ff:7344:8d,2001:3abf:22df::63:1a,61140,53,0,0,17,60+50,50
17397,3ffe:9d3c:de29:2e82:ec53:96ff:7344:8d,2001:3abf:22df::63:1a,61140,53,0,0,17,60+50,50
17400,3ffe:9d3c:de29:2e82:ec53:96ff:7344:8d,2001:3abf:22df::63:1a,61140,53,0,0,17,60+50,50
17401,3ffe:9d3c:de29:2e82:ec53:96ff:7344:8d,2001:3abf:22df::63:1a,61140,53,0,0,17,60+50,50
17406,3ffe:9d3c:de29:2e82:ec53:96ff:7344:8d,2001:3abf:22df::63:1a,61140,53,0,0,17,60+50,50
18797,2001:3abf:22df::63:1a,2001:32af:eb5a:1:df5c:ffff:bb57:4b85,53,52065,0,0,17,60+123,123
23425,2001:30db:c130:cde6:4ee0:c5ff:9f21:11a2,2001:3959:ae47:0:8d:b1:18:97,33067,53,0,0,17,60+55,55
23426,2001:30db:c130:cde6:4ee0:c5ff:9f21:11a2,2001:3959:ae47:0:8d:b1:18:97,33067,53,0,0,17,60+55,55
25979,2001:3316:ffff:16:3786:f6ff:424a:830d,2001:54e5:0:8f0f::d0,53,32985,0,0,17,60+40,40
27305,2001:3316:ffff:16:3786:f6ff:424a:830d,2001:2221:0:85:9bb2:99ff:9379:59e0,53,32769,0,0,17,60+43,43
27319,2001:3c52::3b,2001:385a:498f:79::f4,53,32816,0,0,17,60+114,114
27320,2001:3c52::3b,2001:385a:498f:79::f4,53,32816,0,0,17,60+114,114
27739,2001:3c14:59c5:d730::33,2001:3c00:59b4::98,53,65533,0,0,17,60+376,376
28061,2001:3801:6c00:7:5cb6:3eff:f414:cc0e,2001:3c00:5979::21:16,51127,53,0,0,17,60+63,63
28074,2001:3c00:5979::21:16,2001:3801:6c00:7:5cb6:3eff:f414:cc0e,53,51127,0,0,17,60+111,111
