Packet Number,Source MAC,Destination MAC,EtherType,IP Version,Source IP,Destination IP,Header Length (bytes),Total Length (bytes),TTL,Protocol,Checksum,Flags,Fragment Offset,Identification,Source Port,Destination Port,Sequence Number,Acknowledgment Number,TCP Flags,Window Size,Urgent Pointer
1,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,60.0,64.0,6.0,7230.0,DF,0.0,27977.0,54224.0,5000.0,1382929914.0,0.0,S,42340.0,0.0
2,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,60.0,63.0,6.0,24610.0,DF,0.0,0.0,5000.0,54224.0,3740495047.0,1382929915.0,SA,43440.0,0.0
3,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,52.0,64.0,6.0,14063.0,DF,0.0,27978.0,54224.0,5000.0,1382929915.0,3740495048.0,A,331.0,0.0
4,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,61750.0,DF,0.0,27979.0,54224.0,5000.0,1382929915.0,3740495048.0,A,331.0,0.0
5,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,34600.0,DF,0.0,27980.0,54224.0,5000.0,1382931363.0,3740495048.0,A,331.0,0.0
6,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,32638.0,DF,0.0,27981.0,54224.0,5000.0,1382932811.0,3740495048.0,A,331.0,0.0
7,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,30676.0,DF,0.0,27982.0,54224.0,5000.0,1382934259.0,3740495048.0,A,331.0,0.0
8,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,28714.0,DF,0.0,27983.0,54224.0,5000.0,1382935707.0,3740495048.0,A,331.0,0.0
9,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,29322.0,DF,0.0,27984.0,54224.0,5000.0,1382937155.0,3740495048.0,A,331.0,0.0
10,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,27360.0,DF,0.0,27985.0,54224.0,5000.0,1382938603.0,3740495048.0,A,331.0,0.0
11,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,25398.0,DF,0.0,27986.0,54224.0,5000.0,1382940051.0,3740495048.0,A,331.0,0.0
12,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,23436.0,DF,0.0,27987.0,54224.0,5000.0,1382941499.0,3740495048.0,A,331.0,0.0
13,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,21474.0,DF,0.0,27988.0,54224.0,5000.0,1382942947.0,3740495048.0,A,331.0,0.0
14,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,52.0,63.0,6.0,11070.0,DF,0.0,16751.0,5000.0,54224.0,3740495048.0,1382932811.0,A,325.0,0.0
15,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,21880.0,DF,0.0,27989.0,54224.0,5000.0,1382944395.0,3740495048.0,A,331.0,0.0
16,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,19918.0,DF,0.0,27990.0,54224.0,5000.0,1382945843.0,3740495048.0,A,331.0,0.0
17,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,17956.0,DF,0.0,27991.0,54224.0,5000.0,1382947291.0,3740495048.0,A,331.0,0.0
18,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,15994.0,DF,0.0,27992.0,54224.0,5000.0,1382948739.0,3740495048.0,A,331.0,0.0
19,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,52.0,63.0,6.0,9615.0,DF,0.0,16752.0,5000.0,54224.0,3740495048.0,1382934259.0,A,330.0,0.0
20,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,14027.0,DF,0.0,27993.0,54224.0,5000.0,1382950187.0,3740495048.0,A,331.0,0.0
21,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,14635.0,DF,0.0,27994.0,54224.0,5000.0,1382951635.0,3740495048.0,A,331.0,0.0
22,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,52.0,63.0,6.0,8165.0,DF,0.0,16753.0,5000.0,54224.0,3740495048.0,1382935707.0,A,330.0,0.0
23,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,12669.0,DF,0.0,27995.0,54224.0,5000.0,1382953083.0,3740495048.0,A,331.0,0.0
24,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,10707.0,DF,0.0,27996.0,54224.0,5000.0,1382954531.0,3740495048.0,A,331.0,0.0
