Packet Number,Source IP,Destination IP,IHL(byte),DSCP,ECN,Protocol
1,172.16.11.1,172.16.10.1,20,0,0,6
2,172.16.10.1,172.16.11.1,20,0,0,6
3,172.16.11.1,172.16.10.1,20,0,0,6
4,172.16.11.1,172.16.10.1,20,0,0,6
5,172.16.11.1,172.16.10.1,20,0,0,6
6,172.16.11.1,172.16.10.1,20,0,0,6
7,172.16.11.1,172.16.10.1,20,0,0,6
8,172.16.11.1,172.16.10.1,20,0,0,6
9,172.16.11.1,172.16.10.1,20,0,0,6
10,172.16.11.1,172.16.10.1,20,0,0,6
11,172.16.11.1,172.16.10.1,20,0,0,6
12,172.16.11.1,172.16.10.1,20,0,0,6
13,172.16.11.1,172.16.10.1,20,0,0,6
14,172.16.10.1,172.16.11.1,20,0,0,6
15,172.16.11.1,172.16.10.1,20,0,0,6
16,172.16.11.1,172.16.10.1,20,0,0,6
17,172.16.11.1,172.16.10.1,20,0,0,6
18,172.16.11.1,172.16.10.1,20,0,0,6
19,172.16.10.1,172.16.11.1,20,0,0,6
20,172.16.11.1,172.16.10.1,20,0,0,6
21,172.16.11.1,172.16.10.1,20,0,0,6
22,172.16.10.1,172.16.11.1,20,0,0,6
23,172.16.11.1,172.16.10.1,20,0,0,6
24,172.16.11.1,172.16.10.1,20,0,0,6
25,172.16.10.1,172.16.11.1,20,0,0,6
26,172.16.11.1,172.16.10.1,20,0,0,6
27,172.16.11.1,172.16.10.1,20,0,0,6
28,172.16.10.1,172.16.11.1,20,0,0,6
29,172.16.11.1,172.16.10.1,20,0,0,6
30,172.16.11.1,172.16.10.1,20,0,0,6
31,172.16.10.1,172.16.11.1,20,0,0,6
32,172.16.11.1,172.16.10.1,20,0,0,6
33,172.16.11.1,172.16.10.1,20,0,0,6
34,172.16.10.1,172.16.11.1,20,0,0,6
35,172.16.11.1,172.16.10.1,20,0,0,6
36,172.16.10.1,172.16.11.1,20,0,0,6
37,172.16.11.1,172.16.10.1,20,0,0,6
38,172.16.10.1,172.16.11.1,20,0,0,6
39,172.16.10.1,172.16.11.1,20,0,0,6
40,172.16.11.1,172.16.10.1,20,0,0,6
41,172.16.10.1,172.16.11.1,20,0,0,6
42,172.16.10.1,172.16.11.1,20,0,0,6
43,172.16.11.1,172.16.10.1,20,0,0,6
44,172.16.10.1,172.16.11.1,20,0,0,6
45,172.16.10.1,172.16.11.1,20,0,0,6
46,172.16.11.1,172.16.10.1,20,0,0,6
47,172.16.10.1,172.16.11.1,20,0,0,6
48,172.16.10.1,172.16.11.1,20,0,0,6
49,172.16.11.1,172.16.10.1,20,0,0,6
50,172.16.10.1,172.16.11.1,20,0,0,6
51,172.16.11.1,172.16.10.1,20,0,0,6
52,172.16.11.1,172.16.10.1,20,0,0,6
53,172.16.10.1,172.16.11.1,20,0,0,6
54,172.16.11.1,172.16.10.1,20,0,0,6
55,172.16.10.1,172.16.11.1,20,0,0,6
56,172.16.11.1,172.16.10.1,20,0,0,6
57,172.16.10.1,172.16.11.1,20,0,0,6
58,172.16.11.1,172.16.10.1,20,0,0,6
59,172.16.10.1,172.16.11.1,20,0,0,6
60,172.16.11.1,172.16.10.1,20,0,0,6
61,172.16.10.1,172.16.11.1,20,0,0,6
62,172.16.11.1,172.16.10.1,20,0,0,6
63,172.16.11.1,172.16.10.1,20,0,0,6
64,172.16.10.1,172.16.11.1,20,0,0,6
65,172.16.10.1,172.16.11.1,20,0,0,6
66,172.16.11.1,172.16.10.1,20,0,0,6
67,172.16.11.1,172.16.10.1,20,0,0,6
68,172.16.10.1,172.16.11.1,20,0,0,6
69,172.16.11.1,172.16.10.1,20,0,0,6
70,172.16.10.1,172.16.11.1,20,0,0,6
71,172.16.11.1,172.16.10.1,20,0,0,6
72,172.16.10.1,172.16.11.1,20,0,0,6
73,172.16.11.1,172.16.10.1,20,0,0,6
74,172.16.10.1,172.16.11.1,20,0,0,6
75,172.16.11.1,172.16.10.1,20,0,0,6
76,172.16.11.1,172.16.10.1,20,0,0,6
77,172.16.11.1,172.16.10.1,20,0,0,6
78,172.16.10.1,172.16.11.1,20,0,0,6
79,172.16.11.1,172.16.10.1,20,0,0,6
80,172.16.11.1,172.16.10.1,20,0,0,6
81,172.16.10.1,172.16.11.1,20,0,0,6
82,172.16.11.1,172.16.10.1,20,0,0,6
83,172.16.11.1,172.16.10.1,20,0,0,6
84,172.16.10.1,172.16.11.1,20,0,0,6
85,172.16.11.1,172.16.10.1,20,0,0,6
86,172.16.11.1,172.16.10.1,20,0,0,6
87,172.16.11.1,172.16.10.1,20,0,0,6
88,172.16.11.1,172.16.10.1,20,0,0,6
89,172.16.10.1,172.16.11.1,20,0,0,6
90,172.16.11.1,172.16.10.1,20,0,0,6
91,172.16.10.1,172.16.11.1,20,0,0,6
92,172.16.11.1,172.16.10.1,20,0,0,6
93,172.16.11.1,172.16.10.1,20,0,0,6
94,172.16.10.1,172.16.11.1,20,0,0,6
